flightplan ---- cheapest_route ---- fuel_cost
DUB LHR SYD JFK AAL 777 -- None -- None
ENH GWD YHN LSZ FNC 757 -- ('ENH', 'GWD', 'YHN', 'FNC', 'LSZ', 'ENH') -- 9145.41
AQJ MYJ RRS TEQ YQG 767 -- ('AQJ', 'TEQ', 'MYJ', 'YQG', 'RRS', 'AQJ') -- 10166.45
2B2 MMH ROA ZAL CIJ 767 -- ('2B2', 'CIJ', 'ZAL', 'MMH', 'ROA', '2B2') -- 10315.62
BUU IAS SST HUL DUE 767 -- ('BUU', 'HUL', 'IAS', 'DUE', 'SST', 'BUU') -- 10490.78
TYE JIB NYT VDS CWI 767 -- ('TYE', 'CWI', 'VDS', 'JIB', 'NYT', 'TYE') -- 11414.81
STK OTU BIX KXK PAH 767 -- ('STK', 'KXK', 'PAH', 'BIX', 'OTU', 'STK') -- 11583.92
UVF YJS BCW RAZ GLQ 767 -- ('UVF', 'BCW', 'RAZ', 'YJS', 'GLQ', 'UVF') -- 13673.88
UTC ZAJ THF WFB HMN 767 -- ('UTC', 'THF', 'ZAJ', 'WFB', 'HMN', 'UTC') -- 16341.47
CPX CGN SLA RIC PUB 767 -- ('CPX', 'SLA', 'CGN', 'PUB', 'RIC', 'CPX') -- 18388.56
QPP BSC CYF YGW KTG 767 -- ('QPP', 'YGW', 'BSC', 'CYF', 'KTG', 'QPP') -- 19031.18
YLD PGA PUK MHG MVT 767 -- ('YLD', 'MHG', 'PGA', 'PUK', 'MVT', 'YLD') -- 19872.43
UIN ILI RGS RAP UBP 767 -- ('UIN', 'RAP', 'ILI', 'UBP', 'RGS', 'UIN') -- 20588.11
MQT WJA BDR GNI HOM 767 -- ('MQT', 'WJA', 'GNI', 'HOM', 'BDR', 'MQT') -- 21779.05
BIL NCS LRH LUR AJU 767 -- ('BIL', 'LUR', 'LRH', 'NCS', 'AJU', 'BIL') -- 22783.19
AXJ ESH BMG JAC SDE 767 -- ('AXJ', 'JAC', 'BMG', 'SDE', 'ESH', 'AXJ') -- 23995.98
DSN ULX ZAH SLD WVB 767 -- ('DSN', 'SLD', 'ZAH', 'WVB', 'ULX', 'DSN') -- 6137.91
MME PKV MUX VVO RMG 767 -- ('MME', 'PKV', 'MUX', 'VVO', 'RMG', 'MME') -- 9147.71
YXC BBM QUA LBL YYZ 777 -- ('YXC', 'LBL', 'YYZ', 'QUA', 'BBM', 'YXC') -- 16804.04
MCM TLH MYG GSS TTJ 777 -- ('MCM', 'GSS', 'TTJ', 'TLH', 'MYG', 'MCM') -- 17689.46
KCT KPC HVG CTL HGR 777 -- ('KCT', 'HGR', 'KPC', 'HVG', 'CTL', 'KCT') -- 17780.02
BMW PNP HHI GYL UIT 777 -- ('BMW', 'HHI', 'UIT', 'PNP', 'GYL', 'BMW') -- 17925.24
HVN CBT JON JRH BDB 777 -- ('HVN', 'JON', 'BDB', 'JRH', 'CBT', 'HVN') -- 21127.76
ZRP MJK MUW KEL GIC 777 -- ('ZRP', 'KEL', 'MUW', 'MJK', 'GIC', 'ZRP') -- 21654.72
FDW HID VTS WKJ IWD 777 -- ('FDW', 'IWD', 'VTS', 'HID', 'WKJ', 'FDW') -- 25390.59
ZBP ASH NGU MQT PJM 777 -- ('ZBP', 'NGU', 'PJM', 'MQT', 'ASH', 'ZBP') -- 5125.88
SOB IQQ TRK UVA ENF 777 -- ('SOB', 'TRK', 'UVA', 'IQQ', 'ENF', 'SOB') -- 8539.35
JYL EYK TTR LKG MKU 777 -- ('JYL', 'EYK', 'TTR', 'LKG', 'MKU', 'JYL') -- 8660.89
CIY MAR BKD MCX ZUN 777 -- ('CIY', 'MCX', 'ZUN', 'BKD', 'MAR', 'CIY') -- 8819.74
PKB BHM MCG PBV PLD 777 -- ('PKB', 'BHM', 'PLD', 'PBV', 'MCG', 'PKB') -- 9371.11
LSA RKE DLH DRK KYS 777 -- ('LSA', 'RKE', 'KYS', 'DLH', 'DRK', 'LSA') -- 9825.4
MZP VDR BBO KWM BJZ A320 -- ('MZP', 'VDR', 'BJZ', 'BBO', 'KWM', 'MZP') -- 17046.69
AJL 0G7 HKD ADX GAN A320 -- ('AJL', 'GAN', 'HKD', '0G7', 'ADX', 'AJL') -- 17088.52
LHC SCL YAZ NBS FKB A320 -- ('LHC', 'SCL', 'YAZ', 'NBS', 'FKB', 'LHC') -- 17476.65
ANR SAY OSN PBD JPR A320 -- ('ANR', 'JPR', 'SAY', 'PBD', 'OSN', 'ANR') -- 18095.98
BOH SFS WAL WEL CWB A320 -- ('BOH', 'WAL', 'CWB', 'WEL', 'SFS', 'BOH') -- 18533.52
MKO LKK CER JYV KIF A320 -- ('MKO', 'KIF', 'CER', 'JYV', 'LKK', 'MKO') -- 19556.5
HTL E63 HLG ASD AUF A320 -- ('HTL', 'E63', 'ASD', 'AUF', 'HLG', 'HTL') -- 19953.89
PDV SGD RCS ISB PKN A320 -- ('PDV', 'RCS', 'SGD', 'ISB', 'PKN', 'PDV') -- 2884.79
IWS BLT KVL BRN CBO A320 -- ('IWS', 'KVL', 'BLT', 'CBO', 'BRN', 'IWS') -- 27513.19
RMS BLD ABE AMM LTX A320 -- ('RMS', 'LTX', 'BLD', 'ABE', 'AMM', 'RMS') -- 31206.74
TRC RES CEF TLU TPL A320 -- ('TRC', 'RES', 'TLU', 'CEF', 'TPL', 'TRC') -- 4153.49
GKE QOT IXL CMR BHD A320 -- ('GKE', 'CMR', 'IXL', 'QOT', 'BHD', 'GKE') -- 7607.27
MGQ YSY JRO OLC DIW A321 -- ('MGQ', 'YSY', 'OLC', 'JRO', 'DIW', 'MGQ') -- 10384.62
COI KYS BMX ONQ LED A321 -- ('COI', 'KYS', 'ONQ', 'LED', 'BMX', 'COI') -- 13855.56
GAJ COH BIQ ECG DAW A321 -- ('GAJ', 'ECG', 'DAW', 'BIQ', 'COH', 'GAJ') -- 14278.32
AXJ GGT SDV YOC ACC A321 -- ('AXJ', 'SDV', 'ACC', 'GGT', 'YOC', 'AXJ') -- 14543.57
AGS QRW MHV YXZ PSE A321 -- ('AGS', 'PSE', 'QRW', 'YXZ', 'MHV', 'AGS') -- 15185.52
CSO WMP UTN OSN MLC A321 -- ('CSO', 'UTN', 'WMP', 'OSN', 'MLC', 'CSO') -- 16873.25
BXH K03 ZSN PLL HHN A321 -- ('BXH', 'K03', 'PLL', 'HHN', 'ZSN', 'BXH') -- 17600.91
GPT REI YNS XCD CMX A321 -- ('GPT', 'REI', 'CMX', 'YNS', 'XCD', 'GPT') -- 18174.72
WSJ MTY 1G4 PID GTN A321 -- ('WSJ', '1G4', 'PID', 'MTY', 'GTN', 'WSJ') -- 18229.2
JMK CFB AAO ELY CKV A321 -- ('JMK', 'ELY', 'CKV', 'AAO', 'CFB', 'JMK') -- 19970.92
WTE MNL 19A QQW DAW A321 -- ('WTE', 'MNL', 'QQW', 'DAW', '19A', 'WTE') -- 24344.87
SCW BSX CSK PAS BZL A321 -- ('SCW', 'BZL', 'BSX', 'CSK', 'PAS', 'SCW') -- 3375.39
NGZ KAT CVO BZZ NQT A321 -- ('NGZ', 'BZZ', 'NQT', 'CVO', 'KAT', 'NGZ') -- 36979.13
XGB KUT ADF LOK GDA A321 -- ('XGB', 'KUT', 'ADF', 'GDA', 'LOK', 'XGB') -- 4807.75
WHF AAH SVX IBE KON A321 -- ('WHF', 'IBE', 'AAH', 'SVX', 'KON', 'WHF') -- 5485.15
GME STR CWI UAK C89 A321 -- ('GME', 'CWI', 'C89', 'UAK', 'STR', 'GME') -- 5574.93
FIE AXD SOO MQH PUU A321 -- ('FIE', 'SOO', 'MQH', 'PUU', 'AXD', 'FIE') -- 6407.34
HUX DYU JOK ODB NAQ A321 -- ('HUX', 'NAQ', 'DYU', 'ODB', 'JOK', 'HUX') -- 6958.2
GSP UIK PZB FUT CEE A321 -- ('GSP', 'CEE', 'PZB', 'UIK', 'FUT', 'GSP') -- 9087.9
QPZ TED OMO TSS BBM A330 -- ('QPZ', 'OMO', 'TSS', 'TED', 'BBM', 'QPZ') -- 11162.02
ESH KOI GER QXB IAG A330 -- ('ESH', 'QXB', 'IAG', 'GER', 'KOI', 'ESH') -- 11664.78
MTM FWM VCV C02 TIA A330 -- ('MTM', 'VCV', 'C02', 'FWM', 'TIA', 'MTM') -- 13944.45
GUS GHB NIP 38W TML A330 -- ('GUS', 'NIP', 'GHB', 'TML', '38W', 'GUS') -- 15452.06
GZO QNC KKC YPO VOK A330 -- ('GZO', 'VOK', 'YPO', 'QNC', 'KKC', 'GZO') -- 16016.2
NCA SJU PTU BMX KZB A330 -- ('NCA', 'SJU', 'BMX', 'PTU', 'KZB', 'NCA') -- 16412.35
BBN LMO MEM RKS DEZ A330 -- ('BBN', 'RKS', 'MEM', 'LMO', 'DEZ', 'BBN') -- 17096.44
COU LIK SOY MZR RNL A330 -- ('COU', 'SOY', 'MZR', 'LIK', 'RNL', 'COU') -- 17837.13
PEU QPZ ERN BTT RSI A330 -- ('PEU', 'BTT', 'QPZ', 'ERN', 'RSI', 'PEU') -- 18512.76
MKK ATP BYN AEP LBE A330 -- ('MKK', 'ATP', 'BYN', 'LBE', 'AEP', 'MKK') -- 18731.83
FEL LNV YOO MZT RMP A330 -- ('FEL', 'YOO', 'MZT', 'LNV', 'RMP', 'FEL') -- 19932.74
YHF NY9 DLC DLF MHZ A330 -- ('YHF', 'MHZ', 'DLC', 'DLF', 'NY9', 'YHF') -- 21201.76
